TYPE (P31),TITLE (P1476),SUBTITLE (Q1135389),SUBTITLE 2 (Q1135389),REPLACED BY (P1366),REPLACES (P1365),PUBLISHER (P123),PLACE OF PUBLICATION (P291),MUNICIPALITY_GEONAMES,REGION,REGION_GEONAMES,ISSN (Q131276),LANGUAGE (P407),INCEPTION? START TIME? (P571? P580?),END_DATE,ARCHIVES (P485?),FROM,TO
magazine,Antenne,,,,,Unie Vrijzinnige Verenigingen,,,België,2802361,0772-6627,Dutch,1983,,Centrum voor Academische en Vrijzinnige Archieven,1983,2014
magazine,Bladerklad,Kaderblad van de Humanistische Jongeren,,,,Humanistische Jongeren,Brussel,2800866,België,2802361,,Dutch,2004,,Centrum voor Academische en Vrijzinnige Archieven,2004,2005
magazine,De Hu,Kaderblad van de Humanistische Jongeren,,,,Humanistische Jongeren,,,België,2802361,,Dutch,1973,,Centrum voor Academische en Vrijzinnige Archieven,1973,1999
magazine,deMens.nu Magazine,,,,UVV Info,Unie Vrijzinnige Verenigingen,Brussel,2800866,België,2802361,2034-6646,Dutch,2012,,Centrum voor Academische en Vrijzinnige Archieven,2012,2018
magazine,De Vrijzinnige Lezer,,,,,Humanistisch Vrijzinnig Centrum voor Lectuurbegeleiding,Antwerpen,2803139,België,2802361,0773-2007,Dutch,1980,,Centrum voor Academische en Vrijzinnige Archieven,1980,2002
magazine,Diogenes,Maandschrift voor ethische cultuur,Tijdschrift voor ethische cultuur,,,Humanistisch Verbond vzw,Antwerpen,2803139,België,2802361,,Dutch,1953,,Centrum voor Academische en Vrijzinnige Archieven,1953,1959
magazine,Kink,,,,,Humanistische Jongeren,Brussel,2800866,België,2802361,1375-1042,Dutch,1999,,Centrum voor Academische en Vrijzinnige Archieven,1999,2000
magazine,Kopstukken,Bijlage bij de Vrijzinnige Lezer,,,,Humanistisch Vrijzinnig Centrum voor Lectuurbegeleiding,Antwerpen,2803139,België,2802361,0773-2007,Dutch,1988,,Centrum voor Academische en Vrijzinnige Archieven,1988,2002
magazine,Nitro,,,,,Humanistische Jongeren,Brussel,2800866,België,2802361,0770-8742,Dutch,1982,,Centrum voor Academische en Vrijzinnige Archieven,1982,1999
magazine,UVV Info,,,deMens.nu Magazine,,Unie Vrijzinnige Verenigingen,Brussel,2800866,België,2802361,"0774-1359, 0772-6627",Dutch,1984,2011,Centrum voor Academische en Vrijzinnige Archieven,1984,2011
